Unnamed: 0,timestamp,value,label,value_diff1
0,2015-07-28 11:56:00,248,0,-70
1,2015-07-28 12:06:00,178,0,-70
2,2015-07-28 12:25:00,155,0,-23
3,2015-07-28 13:56:00,121,0,-34
4,2015-07-28 14:06:00,103,0,-18
5,2015-07-28 14:16:00,96,0,-7
6,2015-07-28 17:23:00,170,0,74
7,2015-07-28 22:03:00,168,0,-2
8,2015-07-28 22:13:00,177,0,9
9,2015-07-28 22:22:00,211,0,34
10,2015-07-28 22:33:00,258,0,47
11,2015-07-28 22:43:00,191,0,-67
12,2015-07-29 06:49:00,4416,0,4225
13,2015-07-29 07:23:00,200,0,-4216
14,2015-07-29 07:53:00,210,0,10
15,2015-07-29 08:13:00,197,0,-13
16,2015-07-29 08:23:00,238,0,41
17,2015-07-29 08:51:00,264,0,26
18,2015-07-29 09:03:00,263,0,-1
19,2015-07-29 09:13:00,237,0,-26
20,2015-07-29 09:43:00,218,0,-19
21,2015-07-29 10:03:00,218,0,0
22,2015-07-29 10:13:00,286,0,68
23,2015-07-29 10:17:00,287,0,1
24,2015-07-30 08:58:00,312,0,25
25,2015-07-30 09:07:00,296,0,-16
26,2015-07-30 09:18:00,213,0,-83
27,2015-07-30 09:28:00,189,0,-24
28,2015-07-30 09:37:00,174,0,-15
29,2015-07-30 09:48:00,210,0,36
30,2015-07-30 09:57:00,229,0,19
31,2015-07-30 10:18:00,226,0,-3
32,2015-07-30 11:07:00,348,0,122
33,2015-07-30 12:35:00,58,0,-290
34,2015-07-30 13:14:00,118,0,60
35,2015-07-30 13:38:00,121,0,3
36,2015-07-30 14:14:00,530,0,409
37,2015-07-30 14:38:00,185,0,-345
38,2015-07-30 14:48:00,189,0,4
39,2015-07-30 14:52:00,221,0,32
40,2015-07-30 15:08:00,392,0,171
41,2015-07-30 15:18:00,418,0,26
42,2015-07-30 15:27:00,603,0,185
43,2015-07-30 15:37:00,705,0,102
44,2015-07-30 15:48:00,798,0,93
45,2015-07-30 15:58:00,729,0,-69
46,2015-07-30 16:08:00,863,0,134
47,2015-07-30 16:34:00,916,0,53
48,2015-07-30 16:55:00,652,0,-264
49,2015-07-30 17:26:00,881,0,229
50,2015-07-30 18:07:00,383,0,-498
51,2015-07-30 19:00:00,393,0,10
52,2015-07-30 20:48:00,29,0,-364
53,2015-07-30 21:39:00,69,0,40
54,2015-07-30 21:41:00,99,0,30
55,2015-07-30 21:59:00,73,0,-26
56,2015-07-30 22:01:00,106,0,33
57,2015-07-30 22:59:00,159,0,53
58,2015-07-30 23:48:00,110,0,-49
59,2015-07-31 06:07:00,96,0,-14
60,2015-07-31 08:59:00,611,0,515
61,2015-07-31 09:09:00,1144,0,533
62,2015-07-31 09:19:00,1321,0,177
63,2015-07-31 09:28:00,1510,0,189
64,2015-07-31 09:39:00,1623,0,113
65,2015-07-31 09:49:00,1932,0,309
66,2015-07-31 09:59:00,2051,0,119
67,2015-07-31 10:09:00,1978,0,-73
68,2015-07-31 10:19:00,2942,0,964
69,2015-07-31 10:29:00,3036,0,94
70,2015-07-31 10:39:00,3182,0,146
71,2015-07-31 10:49:00,2869,0,-313
72,2015-07-31 10:59:00,3058,0,189
73,2015-07-31 11:09:00,4290,0,1232
74,2015-07-31 11:29:00,3922,0,-368
75,2015-07-31 11:39:00,4295,0,373
76,2015-07-31 11:59:00,4757,0,462
77,2015-07-31 12:09:00,5161,0,404
78,2015-07-31 12:29:00,5241,0,80
79,2015-07-31 12:33:00,5578,0,337
80,2015-07-31 16:39:00,277,0,-5301
81,2015-07-31 16:49:00,217,0,-60
82,2015-07-31 16:59:00,226,0,9
