Unnamed: 0,timestamp,value,label,value_diff1
0,2015-09-01 11:25:00,58,0,5
1,2015-09-01 11:30:00,63,0,5
2,2015-09-01 11:35:00,63,0,0
3,2015-09-01 11:40:00,64,0,1
4,2015-09-01 11:55:00,58,0,-6
5,2015-09-01 12:00:00,63,0,5
6,2015-09-01 12:05:00,60,0,-3
7,2015-09-01 12:10:00,60,0,0
8,2015-09-01 12:15:00,62,0,2
9,2015-09-01 12:20:00,62,0,0
10,2015-09-01 12:25:00,59,0,-3
11,2015-09-01 12:30:00,65,0,6
12,2015-09-01 12:35:00,60,0,-5
13,2015-09-01 12:45:00,63,0,3
14,2015-09-01 12:50:00,53,0,-10
15,2015-09-01 12:55:00,62,0,9
16,2015-09-01 13:05:00,60,0,-2
17,2015-09-01 13:10:00,60,0,0
18,2015-09-01 13:15:00,61,0,1
19,2015-09-01 13:20:00,61,0,0
20,2015-09-01 13:25:00,59,0,-2
21,2015-09-01 13:35:00,63,0,4
22,2015-09-01 13:45:00,65,0,2
23,2015-09-01 13:50:00,59,0,-6
24,2015-09-01 14:00:00,62,0,3
25,2015-09-01 14:05:00,58,0,-4
26,2015-09-01 14:10:00,57,0,-1
27,2015-09-01 14:15:00,64,0,7
28,2015-09-01 14:30:00,58,0,-6
29,2015-09-01 14:35:00,62,0,4
30,2015-09-01 14:40:00,63,0,1
31,2015-09-01 14:50:00,62,0,-1
32,2015-09-01 14:55:00,63,0,1
33,2015-09-01 15:00:00,66,0,3
34,2015-09-01 15:05:00,55,0,-11
35,2015-09-01 15:10:00,59,0,4
36,2015-09-01 15:25:00,59,0,0
37,2015-09-01 15:30:00,59,0,0
38,2015-09-01 15:35:00,63,0,4
39,2015-09-01 15:40:00,60,0,-3
40,2015-09-01 15:45:00,63,0,3
41,2015-09-01 15:55:00,58,0,-5
42,2015-09-01 16:00:00,68,0,10
43,2015-09-01 16:05:00,63,0,-5
44,2015-09-01 16:10:00,60,0,-3
45,2015-09-01 16:15:00,62,0,2
46,2015-09-01 16:20:00,59,0,-3
47,2015-09-01 16:25:00,65,0,6
48,2015-09-01 16:30:00,63,0,-2
49,2015-09-01 16:40:00,65,0,2
50,2015-09-01 16:45:00,60,0,-5
51,2015-09-01 16:55:00,63,0,3
52,2015-09-01 17:05:00,62,0,-1
53,2015-09-01 17:10:00,63,0,1
54,2015-09-01 17:15:00,38,0,-25
55,2015-09-01 17:20:00,38,0,0
56,2015-09-01 17:25:00,33,0,-5
57,2015-09-01 17:35:00,59,0,26
58,2015-09-01 17:40:00,63,0,4
59,2015-09-01 17:45:00,68,0,5
60,2015-09-01 17:50:00,64,0,-4
61,2015-09-01 17:55:00,65,0,1
62,2015-09-01 17:59:00,65,0,0
63,2015-09-01 18:10:00,61,0,-4
64,2015-09-01 18:15:00,63,0,2
65,2015-09-01 18:20:00,66,0,3
66,2015-09-01 18:25:00,66,0,0
67,2015-09-01 18:30:00,60,0,-6
68,2015-09-01 18:35:00,68,0,8
69,2015-09-01 18:45:00,63,0,-5
